,MatchID,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,CHO,CDO,CAO,HomeElo,AwayElo,Season,HAR,HDR,AAR,ADR,HomeSTP,HomeSGF,HomeSGA,AwaySTP,AwaySGF,AwaySGA,HomeTeam_GamesSoFar,HT_APG,AwayTeam_GamesSoFar,AT_APG,HTWR,ATWR,AwayRollingGoals,HomeRollingGoals,H2H_WinRatio,H2H_AvgMargin,HRIS,ARIS
0,0,E0,2024-08-16,Man United,Fulham,1.0,0.0,H,0.0,0.0,D,R Jones,14.0,10.0,5.0,2.0,12.0,10.0,7.0,8.0,2.0,3.0,0.0,0.0,1.62,4.27,5.17,1779.04394531,1716.27636719,2024-2025,0.433,0.355,0.448,0.373,3.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.42857142857142855,0.46153846153846156,1.1858098591549295,1.8328148148148147,0.664,0.451,0.300448028673835,-0.3787878787878786
1,1,E0,2024-08-17,Ipswich,Liverpool,0.0,2.0,A,0.0,0.0,D,T Robinson,7.0,18.0,2.0,5.0,9.0,18.0,2.0,10.0,3.0,1.0,0.0,0.0,8.17,5.5,1.34,1568.32556152,1900.68835449,2024-2025,0.33,0.476,0.548,0.238,0.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,3.0,0.07142857142857142,0.6666666666666666,1.8142945544554456,1.1791136363636363,0.5,0.0,-0.26699029126213597,1.2046186895810955
2,2,E0,2024-08-17,Arsenal,Wolves,2.0,0.0,H,1.0,0.0,H,J Gillett,18.0,9.0,6.0,3.0,17.0,14.0,8.0,2.0,2.0,2.0,0.0,0.0,1.19,7.33,14.5,1946.90283203,1677.86230469,2024-2025,0.601,0.206,0.393,0.474,3.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.6153846153846154,0.21428571428571427,1.05,1.9089702233250623,0.785,1.459,0.6237890204520992,0.43246268656716425
3,3,E0,2024-08-17,Everton,Brighton,0.0,3.0,A,0.0,1.0,A,S Hooper,9.0,10.0,1.0,5.0,8.0,8.0,1.0,5.0,1.0,1.0,1.0,0.0,2.63,3.4,2.64,1706.85083008,1713.16320801,2024-2025,0.389,0.315,0.445,0.383,0.0,0.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,3.0,0.2857142857142857,0.42857142857142855,1.325503937007874,1.2731555555555556,0.355,0.386,-0.18620760959470647,-0.18600682593856654
4,4,E0,2024-08-17,Newcastle,Southampton,1.0,0.0,H,1.0,0.0,H,C Pawson,3.0,19.0,1.0,4.0,15.0,16.0,3.0,12.0,2.0,4.0,1.0,0.0,1.35,5.42,7.92,1801.79711914,1599.60339355,2024-2025,0.523,0.391,0.29,0.53,3.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.5384615384615384,0.07142857142857142,1.1385018587360596,1.2910298913043479,0.768,1.048,-0.002534307978760024,0.47914915083235243
5,5,E0,2024-08-17,Nott'm Forest,Bournemouth,1.0,1.0,D,1.0,0.0,H,M Oliver,14.0,13.0,8.0,4.0,17.0,8.0,2.0,6.0,1.0,3.0,0.0,0.0,2.47,3.5,2.8,1647.71496582,1691.12365723,2024-2025,0.472,0.299,0.507,0.469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5384615384615384,0.42857142857142855,1.2133828125,1.0504444444444445,0.0,-0.488,0.24406688241639707,0.04806598407281007
6,6,E0,2024-08-17,West Ham,Aston Villa,1.0,2.0,A,1.0,1.0,D,T Harrington,14.0,15.0,3.0,3.0,18.0,11.0,5.0,3.0,1.0,2.0,0.0,0.0,2.43,3.65,2.73,1726.24291992,1770.43505859,2024-2025,0.378,0.469,0.364,0.516,0.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,3.0,0.35714285714285715,0.3076923076923077,1.2596977401129943,1.2539022346368716,0.459,0.311,0.1816666666666667,1.8743887530562346
7,7,E0,2024-08-18,Brentford,Crystal Palace,2.0,1.0,H,1.0,0.0,H,S Barrott,9.0,14.0,5.0,6.0,6.0,15.0,4.0,7.0,1.0,5.0,0.0,0.0,2.42,3.43,2.88,1711.08398438,1759.70800781,2024-2025,0.491,0.461,0.454,0.317,3.0,2.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,0.5,0.46153846153846156,1.0528405797101448,1.5071129032258066,0.0,-0.412,0.7553191489361701,0.12839248434237996
8,8,E0,2024-08-18,Chelsea,Man City,0.0,2.0,A,0.0,1.0,A,A Taylor,10.0,11.0,3.0,5.0,12.0,9.0,4.0,3.0,1.0,1.0,0.0,0.0,4.0,4.0,1.82,1810.11962891,2050.57299805,2024-2025,0.606,0.362,0.486,0.327,0.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,3.0,0.5384615384615384,0.42857142857142855,1.996305699481865,1.8624613466334163,0.153,-0.49,0.005144316218990211,-0.12190266758652424
9,9,E0,2024-08-19,Leicester,Tottenham,1.0,1.0,D,0.0,1.0,A,C Kavanagh,7.0,15.0,3.0,7.0,11.0,12.0,2.0,13.0,1.0,1.0,0.0,0.0,5.0,4.33,1.63,1643.66943359,1790.55664062,2024-2025,0.287,0.475,0.532,0.379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.38461538461538464,1.5871876543209877,1.3930243902439023,0.357,-0.762,-0.38722197753798737,0.3461733080328906
10,10,E0,2024-08-24,Brighton,Man United,2.0,1.0,H,1.0,0.0,H,C Pawson,14.0,11.0,5.0,4.0,9.0,13.0,4.0,4.0,1.0,2.0,0.0,0.0,2.5,3.72,2.64,1729.70837402,1784.38208008,2024-2025,0.488,0.327,0.386,0.361,6.0,5.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,1.5,0.38461538461538464,0.23076923076923078,1.857705,1.3161825396825397,0.464,-0.085,0.13343761850587788,-0.3202116935483872
11,11,E0,2024-08-24,Crystal Palace,West Ham,0.0,2.0,A,0.0,0.0,D,R Jones,14.0,18.0,2.0,3.0,9.0,17.0,3.0,3.0,1.0,1.0,0.0,0.0,2.17,3.53,3.23,1752.20849609,1718.27954102,2024-2025,0.429,0.38,0.412,0.463,0.0,1.0,4.0,3.0,3.0,2.0,2.0,0.0,2.0,1.5,0.21428571428571427,0.3076923076923077,1.265747899159664,1.0547342995169082,0.516,0.645,-0.021607515657620053,0.30666666666666675
12,12,E0,2024-08-24,Fulham,Leicester,2.0,1.0,H,1.0,1.0,D,D Bond,18.0,10.0,6.0,4.0,14.0,13.0,7.0,5.0,2.0,2.0,0.0,0.0,1.81,3.73,4.29,1711.46643066,1646.47558594,2024-2025,0.448,0.344,0.324,0.621,3.0,2.0,2.0,1.0,2.0,3.0,2.0,1.5,2.0,0.5,0.35714285714285715,0.15384615384615385,1.4029468599033819,1.1800934256055364,0.8,0.714,0.6666666666666667,-0.5231868898186891
13,13,E0,2024-08-24,Man City,Ipswich,4.0,1.0,H,3.0,1.0,H,M Salisbury,14.0,1.0,5.0,1.0,4.0,15.0,10.0,1.0,2.0,3.0,0.0,0.0,1.09,11.83,23.33,2055.97094727,1565.4329834,2024-2025,0.624,0.28,0.311,0.575,6.0,6.0,1.0,0.0,1.0,6.0,2.0,3.0,2.0,0.0,0.6153846153846154,0.15384615384615385,1.1868863636363636,1.9697227979274612,0.5,0.0,1.2306614349775782,-0.9336569579288025
14,14,E0,2024-08-24,Southampton,Nott'm Forest,0.0,1.0,A,0.0,0.0,D,S Barrott,5.0,23.0,1.0,8.0,14.0,14.0,4.0,10.0,3.0,3.0,0.0,0.0,2.52,3.37,2.83,1597.3581543,1647.67578125,2024-2025,0.314,0.691,0.41,0.416,0.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,2.0,0.07692307692307693,0.5,1.0847906976744186,1.1415220588235295,0.0,-1.0,-0.9901490947816827,0.32184466019417496
15,15,E0,2024-08-24,Tottenham,Everton,4.0,0.0,H,2.0,0.0,H,A Taylor,13.0,10.0,7.0,1.0,11.0,15.0,12.0,5.0,0.0,0.0,0.0,0.0,1.44,4.85,6.75,1788.27868652,1690.8338623,2024-2025,0.53,0.403,0.315,0.41,4.0,5.0,1.0,0.0,0.0,7.0,2.0,2.0,2.0,0.0,0.35714285714285715,0.23076923076923078,1.2982675000000001,1.56947,0.422,0.856,0.15031769305962855,0.04883512544802861
16,16,E0,2024-08-24,Aston Villa,Arsenal,0.0,2.0,A,0.0,0.0,D,M Oliver,11.0,9.0,3.0,4.0,8.0,15.0,4.0,1.0,1.0,3.0,0.0,0.0,4.29,3.87,1.78,1778.92663574,1949.74951172,2024-2025,0.461,0.287,0.39,0.288,3.0,2.0,3.0,6.0,4.0,0.0,2.0,1.5,2.0,3.0,0.4666666666666667,0.5,1.9202000000000001,1.2439745762711865,0.519,0.129,-0.16972889400258873,-0.31139616473308607
17,17,E0,2024-08-25,Bournemouth,Newcastle,1.0,1.0,D,1.0,0.0,H,D Coote,16.0,14.0,4.0,5.0,19.0,8.0,8.0,9.0,2.0,2.0,0.0,0.0,2.97,3.83,2.22,1691.69104004,1804.57055664,2024-2025,0.517,0.315,0.406,0.369,2.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,0.46153846153846156,0.42857142857142855,1.2953324324324325,1.2127919999999999,0.214,0.004,-0.16860068259385658,-0.031946072684642425
18,18,E0,2024-08-25,Wolves,Chelsea,2.0,6.0,A,2.0,2.0,D,D England,12.0,14.0,4.0,8.0,13.0,13.0,5.0,5.0,2.0,3.0,0.0,0.0,4.38,4.0,1.75,1675.54382324,1806.07421875,2024-2025,0.389,0.47,0.486,0.363,0.0,2.0,8.0,3.0,6.0,4.0,2.0,0.0,2.0,1.5,0.23076923076923078,0.42857142857142855,1.8775409429280396,1.0342643678160919,0.484,-0.025,0.4137126865671643,-0.14020452099031214
19,19,E0,2024-08-25,Liverpool,Brentford,2.0,0.0,H,1.0,0.0,H,S Attwell,19.0,8.0,8.0,2.0,10.0,7.0,9.0,4.0,2.0,3.0,0.0,0.0,1.26,6.33,10.83,1904.10913086,1719.11169434,2024-2025,0.572,0.259,0.386,0.499,6.0,4.0,0.0,3.0,2.0,3.0,2.0,3.0,2.0,1.5,0.7692307692307693,0.3076923076923077,1.5093898305084745,1.7931169154228854,0.709,1.451,0.3796186895810957,-0.2446808510638299
20,20,E0,2024-08-31,Arsenal,Brighton,1.0,1.0,D,1.0,0.0,H,C Kavanagh,11.0,22.0,7.0,4.0,12.0,7.0,3.0,7.0,3.0,2.0,1.0,0.0,1.34,5.5,8.33,1956.93518066,1737.66442871,2024-2025,0.601,0.206,0.445,0.383,7.0,5.0,1.0,7.0,6.0,2.0,3.0,2.3333333333333335,3.0,2.3333333333333335,0.6153846153846154,0.42857142857142855,1.325503937007874,1.9089702233250623,0.559,0.59,-0.2214490747859961,-0.3645782545099951
