Feature,Importance
HT_APG,0.059373442
AT_APG,0.048281483
ATWR,0.038044393
HRIS,0.035319436
ARIS,0.031879064
HTWR,0.023037752
HomeSTP,0.020579157
Season_2015-2016,0.019412255
HomeTeam_GamesSoFar,0.016614381
HomeTeam_Brighton,0.014747126
AwaySTP,0.0146546755
AwayTeam_Bournemouth,0.014163515
Season_2024-2025,0.014082451
HomeRollingGoals,0.013686157
HAR,0.013483272
HDR,0.01328625
ADR,0.012423772
AwayRollingGoals,0.012283937
HomeSGA,0.011985294
HomeElo,0.01194159
CDO,0.011580946
AwaySGA,0.011456444
Season_2001-2002,0.011365211
HomeTeam_Nott'm Forest,0.011323897
AwayElo,0.011298499
Season_2020-2021,0.010998094
Season_2011-2012,0.010483328
AAR,0.010455057
CAO,0.010313756
HomeTeam_Hull,0.010269596
Year,0.010101133
HomeTeam_Cardiff,0.010095462
CHO,0.010085438
HomeTeam_Birmingham,0.009584174
HomeSGF,0.009583062
H2H_WinRatio,0.009499538
AwayTeam_Crystal Palace,0.009191924
Season_2004-2005,0.008912028
HomeTeam_Tottenham,0.008818085
AwaySGF,0.008814285
AwayTeam_Norwich,0.008798848
Season_2000-2001,0.008768761
H2H_AvgMargin,0.008765716
AwayTeam_Swansea,0.0086449
AwayTeam_Liverpool,0.008638666
HomeTeam_Man City,0.0084913615
AwayTeam_Southampton,0.008468097
Season_2010-2011,0.008377126
AwayTeam_Hull,0.008326178
AwayTeam_GamesSoFar,0.00832326
AwayTeam_Chelsea,0.008051976
Season_2016-2017,0.008037716
Season_2018-2019,0.007948599
HomeTeam_Fulham,0.007844857
HomeTeam_Stoke,0.0076587186
HomeTeam_Bolton,0.0076106666
HomeTeam_West Brom,0.0073891613
Month,0.0073306873
AwayTeam_Leeds,0.00731985
AwayTeam_Charlton,0.0072064246
HomeTeam_Huddersfield,0.0071930434
AwayTeam_Watford,0.0070547587
AwayTeam_Tottenham,0.0070229475
AwayTeam_QPR,0.0070098513
AwayTeam_Birmingham,0.0069761924
AwayTeam_Man City,0.0069256146
AwayTeam_Wigan,0.006871384
HomeTeam_Wolves,0.006852825
AwayTeam_Reading,0.006787031
AwayTeam_Brighton,0.006705146
AwayTeam_Newcastle,0.0065638158
Season_2023-2024,0.00650556
Season_2006-2007,0.0063899574
AwayTeam_Portsmouth,0.0063321083
DayOfWeek,0.0063244263
AwayTeam_Everton,0.0063104336
HomeTeam_Aston Villa,0.0062538735
AwayTeam_Man United,0.005597058
AwayTeam_Leicester,0.0055061914
AwayTeam_Stoke,0.0054700268
HomeTeam_Southampton,0.005303733
HomeTeam_Brentford,0.0052156234
Season_2013-2014,0.005130842
AwayTeam_Fulham,0.0051163454
AwayTeam_Blackburn,0.0049765
AwayTeam_Aston Villa,0.004750098
Season_2009-2010,0.003917397
Season_2008-2009,0.003760593
HomeTeam_Chelsea,0.003672676
HomeTeam_Leeds,0.0036282563
HomeTeam_Liverpool,0.0036133174
HomeTeam_Man United,0.0032091052
Season_2002-2003,0.0025032565
Season_2005-2006,0.0020735112
HomeTeam_Norwich,0.0018674714
HomeTeam_West Ham,0.001841898
AwayTeam_Wolves,0.0018146125
HomeTeam_Crystal Palace,0.0014415763
HomeTeam_Newcastle,0.0
HomeTeam_Luton,0.0
Season_2003-2004,0.0
HomeTeam_Leicester,0.0
HomeTeam_Ipswich,0.0
HomeTeam_Everton,0.0
Season_2007-2008,0.0
HomeTeam_Derby,0.0
HomeTeam_Coventry,0.0
HomeTeam_Charlton,0.0
Season_2012-2013,0.0
HomeTeam_Burnley,0.0
Season_2014-2015,0.0
HomeTeam_Bradford,0.0
HomeTeam_Bournemouth,0.0
Season_2017-2018,0.0
HomeTeam_Blackpool,0.0
Season_2019-2020,0.0
HomeTeam_Blackburn,0.0
Season_2021-2022,0.0
Season_2022-2023,0.0
HomeTeam_Arsenal,0.0
Div_E0,0.0
HomeTeam_Middlesbrough,0.0
AwayTeam_Huddersfield,0.0
AwayTeam_Derby,0.0
HomeTeam_Portsmouth,0.0
AwayTeam_Ipswich,0.0
AwayTeam_Coventry,0.0
AwayTeam_Cardiff,0.0
AwayTeam_Burnley,0.0
AwayTeam_Luton,0.0
AwayTeam_Brentford,0.0
AwayTeam_Bradford,0.0
AwayTeam_Middlesbrough,0.0
AwayTeam_Bolton,0.0
AwayTeam_Blackpool,0.0
AwayTeam_Nott'm Forest,0.0
AwayTeam_Arsenal,0.0
HomeTeam_Wigan,0.0
HomeTeam_Watford,0.0
AwayTeam_Sheffield United,0.0
HomeTeam_Swansea,0.0
HomeTeam_Sunderland,0.0
AwayTeam_Sunderland,0.0
HomeTeam_Sheffield United,0.0
HomeTeam_Reading,0.0
HomeTeam_QPR,0.0
AwayTeam_West Brom,0.0
AwayTeam_West Ham,0.0
Season_nan,0.0
